model,seconds,threshold,validation_precision,validation_recall,validation_f1
LogisticRegression,0.01218450000123994,0.5,0.6363636363636364,0.13725490196078433,0.22580645161290322
RandomForest,0.47413479999886476,0.5,0.7878787878787878,0.5098039215686274,0.6190476190476191
XGBoost,0.19590170000083162,0.5,0.8205128205128205,0.6274509803921569,0.7111111111111111
MLPClassifier,0.6228635999996186,0.5,0.5862068965517241,0.3333333333333333,0.425
CostSensitive_XGBoost,0.20416130000012345,0.52,0.4583333333333333,0.8627450980392157,0.5986394557823129
